LAST_UPDATE,MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
2020-08-22,10001,Chelsea/NoMad/West Chelsea,Manhattan,440,1867.33,23563.03,26,110.34,7.18,6124
2020-08-22,10002,Chinatown/Lower East Side,Manhattan,1318,1717.14,76755.41,161,209.76,8.33,15831
2020-08-22,10003,East Village/Gramercy/Greenwich Village,Manhattan,534,992.54,53801.62,35,65.05,3.91,13671
2020-08-22,10004,Financial District,Manhattan,40,1095.71,3650.61,1,27.39,5.33,751
2020-08-22,10005,Financial District,Manhattan,94,1119.57,8396.11,2,23.82,4.91,1914
2020-08-22,10006,Financial District,Manhattan,39,1127.89,3457.77,0,0,4.97,784
2020-08-22,10007,TriBeCa,Manhattan,72,872.76,8249.73,3,36.36,3.91,1843
2020-08-22,10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,832,1416.22,58747.99,69,117.45,5.86,14193
2020-08-22,10010,Flatiron/Gramercy/Kips Bay,Manhattan,331,1022.49,32371.86,19,58.69,3.85,8597
2020-08-22,10011,Chelsea,Manhattan,620,1252.51,49500.52,44,88.89,4.92,12607
2020-08-22,10012,Greenwich Village/SoHo,Manhattan,218,909.05,23981.2,9,37.53,3.84,5678
2020-08-22,10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,326,1122.93,29031.09,21,72.34,4.29,7600
2020-08-22,10014,Hudson Square/Meatpacking District/West Village,Manhattan,374,1204.77,31043.16,29,93.42,4.45,8404
2020-08-22,10016,Kips Bay/Murray Hill/NoMad,Manhattan,831,1582.12,52524.35,50,95.19,6.08,13658
2020-08-22,10017,East Midtown/Murray Hill,Manhattan,165,1023.12,16127.22,8,49.61,4.3,3840
2020-08-22,10018,Hell's Kitchen/Midtown Manhattan,Manhattan,215,2255.69,9531.44,5,52.46,9.98,2154
2020-08-22,10019,Hell's Kitchen/Midtown Manhattan,Manhattan,695,1710.5,40631.45,42,103.37,5.89,11792
2020-08-22,10021,Lenox Hill/Upper East Side,Manhattan,631,1428.39,44175.61,65,147.14,5.37,11746
2020-08-22,10022,East Midtown,Manhattan,396,1305.43,30334.8,32,105.49,5.21,7606
2020-08-22,10023,Lincoln Square,Manhattan,651,1080.05,60274.81,54,89.59,4.67,13937
2020-08-22,10024,Upper West Side,Manhattan,830,1447.56,57337.68,75,130.8,5.57,14894
2020-08-22,10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1529,1655.95,92333.47,178,192.78,6.05,25283
2020-08-22,10026,Central Harlem (South),Manhattan,751,1924.75,39018.03,47,120.46,8.94,8397
2020-08-22,10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1176,1848.15,63631.04,113,177.59,8.42,13966
2020-08-22,10028,Upper East Side/Yorkville,Manhattan,544,1106.7,49155.08,34,69.17,5.03,10812
2020-08-22,10029,East Harlem,Manhattan,2022,2564.64,78841.52,213,270.16,10.64,18997
2020-08-22,10030,Central Harlem (North),Manhattan,567,1933.71,29321.91,57,194.39,9.63,5889
2020-08-22,10031,Hamilton Heights/West Harlem,Manhattan,1515,2501.78,60556.93,133,219.63,10.91,13880
2020-08-22,10032,Washington Heights (South),Manhattan,1746,2839.37,61492.57,175,284.59,12.21,14305
