ZIP_CODE,2020-04-03,2020-04-04,2020-04-05,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22
10001,23,10,12,12,8,13,6,4,10,10,10,7,4,9,3,6,1,5,2,9,8,3,563,-552,1,1,2,1,2,3,2,3,-1,0,1,0,4,2,1,0,2,4,2,5,1,1,1,1,5,5,1,0,0,2,3,0,4,3,0,-1,2,1,3,0,0,0,2,4,2,2,1,0,0,0,2,0,0,2,0,0,0,1,1,0,3,0,1,3,0,1,3,0,0,2,1,1,4,2,0,0,0,4,1,1,0,2,1,2,0,0,0,2,0,0,0,1,2,1,-1,1,2,-1,3,4,3,-1,0,0,0,0,0,0,2,0,0,0,1,4,0,2
10002,67,24,19,45,16,35,36,8,39,15,24,67,21,19,10,17,4,13,4,23,18,6,1182,-1154,20,4,5,11,14,8,8,12,9,6,2,8,9,6,1,3,2,15,14,5,5,4,5,2,8,8,5,4,1,0,5,1,9,8,0,3,3,3,5,3,2,2,1,4,1,1,1,1,1,4,4,0,2,1,2,1,1,2,2,2,2,1,6,4,2,4,11,12,1,6,3,6,4,2,7,7,4,6,8,11,5,6,2,7,1,3,0,9,-1,0,1,1,1,4,4,4,9,4,3,8,4,3,6,5,1,1,4,3,7,5,1,1,4,1,5,2
10003,30,7,12,20,8,15,11,3,12,6,5,33,6,8,5,5,4,4,3,5,4,1,826,-816,3,1,5,2,3,4,3,3,4,1,0,3,3,1,0,6,2,2,1,1,4,1,1,2,3,2,0,0,0,1,2,3,0,0,0,1,2,-1,0,2,1,0,1,0,0,2,0,0,0,0,1,2,2,0,1,1,3,1,1,0,4,1,1,1,1,2,6,3,0,2,2,2,0,2,0,0,1,2,1,1,0,4,1,2,0,1,1,2,0,0,3,3,1,1,0,0,0,0,0,0,3,-1,1,0,2,1,1,1,1,0,0,0,0,3,4,2
10004,3,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,-1,1,61,-61,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10005,3,0,1,3,0,4,0,1,1,1,1,1,1,2,0,0,0,0,0,1,2,1,134,-133,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,2,1,1,0,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0
10006,1,0,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,61,-56,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10007,2,1,0,1,0,1,1,0,2,0,1,0,1,1,2,1,1,1,0,0,4,0,140,-140,-1,0,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10009,55,17,9,36,10,25,15,1,32,8,18,63,10,14,7,17,4,8,0,17,6,8,1045,-1027,8,5,5,4,4,2,3,3,1,2,1,8,6,0,0,5,1,9,5,2,4,1,1,0,4,1,3,2,1,0,6,5,4,2,0,0,0,1,1,0,0,2,2,2,4,0,1,0,1,1,2,0,1,3,3,1,1,2,1,4,0,2,2,2,2,4,1,3,1,6,1,2,0,4,3,1,1,5,3,0,1,2,5,3,0,2,-1,4,0,3,4,0,5,2,3,1,3,3,3,3,5,1,0,0,1,2,2,1,1,0,3,0,2,2,1,2
10010,17,1,2,12,4,13,8,2,6,3,6,13,2,5,5,1,1,1,1,6,5,1,618,-610,1,1,0,2,4,3,-1,3,0,2,0,2,0,1,0,0,3,4,1,1,0,0,0,2,0,1,1,0,0,1,1,1,0,0,3,0,3,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,-2,3,0,1,4,0,0,1,1,1,4,0,0,1,0,0,2,4,4,1,2,1,1,1,-1,3,0,0,1,0,0,1,0,0,0,1,0,2,1,4,-1,2,1,0,2,3,2,1,0,2,0,1,0,0
10011,33,12,11,30,8,13,12,1,13,4,6,10,5,4,6,4,4,5,1,7,11,5,841,-819,1,1,1,1,5,2,3,6,2,2,1,2,0,1,1,2,1,5,2,1,4,1,0,1,6,4,1,1,1,1,3,1,3,0,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,3,0,0,1,0,0,4,0,0,0,1,1,2,2,1,1,0,5,4,0,3,1,3,1,1,1,5,5,1,2,2,4,-1,2,3,3,7,0,0,0,1,0,0,1,1,2,2,1,2,2,1,0,2,0,1,0,1,2,3,1
